Ano;Território;Desemprego 25-34 anos;Desemprego 35-44 anos;Desemprego 45-54 anos;Desemprego 55+ anos;População com 1º Ciclo;População com 2º Ciclo;População com 3º Ciclo/Secundário;Pré-Escolar;População Empregada - Homens;População Empregada - Mulheres;População Empregada - Total
2009;Palmela;682.4;618.9;597.5;554.4;42.9;82.0;37.7;43.3;;;2743.7
2009;Pampilhosa da Serra;14.3;14.9;28.2;12.9;12.5;;11.1;;;;88.4
2009;Paredes;1091.5;1211.2;1153.3;779.1;47.5;111.4;31.1;64.3;;;5078.6
2009;Paredes de Coura;81.1;93.7;86.9;62.9;90.0;85.7;8.8;;;;397.7
2009;Paços de Ferreira;597.4;656.0;830.8;628.6;34.4;50.0;18.2;52.9;;;3131.3
2009;Pedrógão Grande;23.0;31.4;43.9;33.8;200.0;66.7;33.3;;;;160.9
2009;Penacova;116.7;91.8;98.1;91.9;157.1;155.6;190.9;900.0;;;469.1
2009;Penafiel;731.9;764.3;633.3;544.3;82.3;127.8;37.1;135.7;;;3303.6
2009;Penalva do Castelo;102.8;79.3;79.3;59.2;350.0;350.0;61.5;200.0;;;397.8
2009;Penamacor;29.3;32.6;29.6;29.0;;;21.4;;;;139.1
2009;Penedono;28.7;20.7;10.9;12.7;166.7;200.0;14.3;50.0;;;92.0
2009;Penela;37.8;44.3;29.3;36.1;300.0;600.0;125.0;50.0;;;167.9
2009;Peniche;399.4;305.9;283.8;247.4;66.7;133.3;130.2;33.3;;;1494.8
2009;Peso da Régua;245.2;207.4;243.9;164.1;520.0;200.0;89.3;20.0;;;1048.6
2009;Pinhel;85.8;105.8;103.9;39.5;;140.0;68.4;800.0;;;373.1
2009;Pombal;405.8;333.3;292.2;259.8;60.8;103.4;55.5;61.1;;;1533.7
2009;Ponte da Barca;109.3;100.5;87.8;58.9;114.3;150.0;66.7;66.7;;;464.1
2009;Ponte de Lima;404.5;385.5;374.8;286.7;117.9;740.0;80.8;185.7;;;1687.6
2009;Ponte de Sor;239.8;217.1;217.3;179.6;175.0;122.2;61.8;60.0;;;1021.5
2009;Portalegre;314.2;226.4;196.9;163.0;262.5;180.0;98.5;81.8;;;1127.3
2009;Portel;68.9;78.3;80.3;85.0;140.0;50.0;22.2;20.0;;;362.4
