Ano,Território,Desemprego 25-34 anos,População com 1º Ciclo,População com 2º Ciclo,População com 3º Ciclo/Secundário,Pré-Escolar,População Empregada - Homens,População Empregada - Total,Cluster
2009,Lamego,376.6,177.3,115.6,82.9,76.5,3481.5006715916725,1496.1,1
2009,Leiria,1130.2,76.6,141.0,106.9,95.2,3481.5006715916725,4222.8,0
2009,Loulé,799.5,44.7,106.3,54.0,47.4,3481.5006715916725,2773.3,1
2009,Loures,1712.2,34.7,113.3,130.6,53.2,3481.5006715916725,7309.5,0
2009,Lourinhã,268.3,69.7,281.8,45.0,81.8,3481.5006715916725,955.5,1
2009,Lousada,532.8,37.3,29.2,15.9,122.2,3481.5006715916725,2487.4,1
2009,Lousã,222.1,60.0,230.0,330.0,100.0,3481.5006715916725,755.8,1
2009,Macedo de Cavaleiros,145.2,625.0,153.8,93.3,233.3,3481.5006715916725,702.3,1
2009,Mafra,680.2,28.9,78.6,44.4,42.5,3481.5006715916725,2339.3,1
2009,Maia,1815.3,51.1,232.5,167.9,43.3,3481.5006715916725,7850.2,0
2009,Mangualde,239.3,175.0,245.5,95.1,200.0,3481.5006715916725,1082.8,1
2009,Manteigas,34.8,911.898627596439,100.0,10.0,608.1002453557659,3481.5006715916725,204.1,1
2009,Marco de Canaveses,800.1,77.0,47.8,14.1,80.0,3481.5006715916725,3365.8,1
2009,Marinha Grande,466.5,63.2,206.7,94.6,78.9,3481.5006715916725,1799.8,1
2009,Marvão,21.9,300.0,125.0,1160.0324398797595,608.1002453557659,3481.5006715916725,98.8,1
2009,Matosinhos,1788.6,60.8,255.4,163.0,65.7,3481.5006715916725,8388.8,0
2009,Mação,30.8,911.898627596439,120.0,35.0,608.1002453557659,3481.5006715916725,140.3,1
2009,Mealhada,197.4,91.7,266.7,134.6,90.0,3481.5006715916725,732.8,1
2009,Melgaço,40.4,200.0,300.0,25.0,608.1002453557659,3481.5006715916725,137.9,1
2009,Mesão Frio,104.3,300.0,75.0,16.0,608.1002453557659,3481.5006715916725,397.7,1
2009,Mira,135.2,1600.0,300.0,178.6,66.7,3481.5006715916725,533.3,1
2009,Miranda do Corvo,112.5,162.5,285.7,70.4,500.0,3481.5006715916725,421.3,1
2009,Miranda do Douro,48.9,650.0,275.0,57.9,500.0,3481.5006715916725,173.7,1
2009,Mirandela,289.7,1175.0,462.5,94.9,112.5,3481.5006715916725,1182.3,1
2009,Mogadouro,67.2,1500.0,800.0,90.9,200.0,3481.5006715916725,315.2,2
2009,Moimenta da Beira,113.2,533.3,175.0,40.0,800.0,3481.5006715916725,508.8,1
