Ano,25-34,Básico - 1º Ciclo,Básico - 2º Ciclo,Básico - 3º Ciclo e secundário,Educação Pré-Escolar,Homens
2009,239.3,175.0,245.5,95.1,200.0,4006.4644790257103
2009,34.8,908.5050445103858,100.0,10.0,606.0225288159273,4006.4644790257103
2009,800.1,77.0,47.8,14.1,80.0,4006.4644790257103
2009,466.5,63.2,206.7,94.6,78.9,4006.4644790257103
2009,21.9,300.0,125.0,1157.552021089631,606.0225288159273,4006.4644790257103
2009,1788.6,60.8,255.4,163.0,65.7,4006.4644790257103
2009,30.8,908.5050445103858,120.0,35.0,606.0225288159273,4006.4644790257103
2009,197.4,91.7,266.7,134.6,90.0,4006.4644790257103
2009,40.4,200.0,300.0,25.0,606.0225288159273,4006.4644790257103
2009,104.3,300.0,75.0,16.0,606.0225288159273,4006.4644790257103
2009,135.2,1600.0,300.0,178.6,66.7,4006.4644790257103
2009,112.5,162.5,285.7,70.4,500.0,4006.4644790257103
2009,48.9,650.0,275.0,57.9,500.0,4006.4644790257103
2009,289.7,1175.0,462.5,94.9,112.5,4006.4644790257103
2009,67.2,1500.0,800.0,90.9,200.0,4006.4644790257103
2009,113.2,533.3,175.0,40.0,800.0,4006.4644790257103
2009,1015.7,49.4,83.9,109.6,100.0,4006.4644790257103
2009,32.5,300.0,28.6,36.4,606.0225288159273,4006.4644790257103
2009,102.3,950.0,75.0,36.4,606.0225288159273,4006.4644790257103
2009,40.9,908.5050445103858,50.0,9.1,100.0,4006.4644790257103
2009,59.9,1500.0,100.0,15.2,606.0225288159273,4006.4644790257103
2009,138.9,70.0,90.0,67.6,37.5,4006.4644790257103
2009,239.0,129.4,620.0,147.6,45.5,4006.4644790257103
2009,560.2,48.2,63.3,114.7,60.9,4006.4644790257103
2009,176.0,240.0,328.6,63.3,60.0,4006.4644790257103
2009,38.4,133.3,66.7,40.0,100.0,4006.4644790257103
2009,52.2,550.0,350.0,114.3,100.0,4006.4644790257103
2009,233.7,83.3,113.3,49.0,50.0,4006.4644790257103
2009,26.7,908.5050445103858,57.1,9.1,100.0,4006.4644790257103
2009,115.2,72.7,71.4,50.0,166.7,4006.4644790257103
2009,60.9,275.0,200.0,100.0,606.0225288159273,4006.4644790257103
2009,37.7,100.0,200.0,11.5,100.0,4006.4644790257103
2009,26.4,400.0,50.0,40.0,300.0,4006.4644790257103
2009,198.3,157.1,283.3,44.0,20.0,4006.4644790257103
