01. Ano;02. Nome Região (Portugal);03. Âmbito Geográfico;04. Filtro 1;07. Escala;09. Valor
2009;Arruda dos Vinhos;Município;Menos de 25 anos; pessoas;46.8
2009;Arruda dos Vinhos;Município;Total; pessoas;358.3
2009;Aveiro;Município;25-34; pessoas;1040.4
2009;Aveiro;Município;35-44; pessoas;771.5
2009;Aveiro;Município;45-54; pessoas;726.5
2009;Aveiro;Município;55 ou mais anos; pessoas;508.3
2009;Aveiro;Município;Menos de 25 anos; pessoas;604.7
2009;Aveiro;Município;Total; pessoas;3651.3
2009;Avis;Município;25-34; pessoas;44.7
2009;Avis;Município;35-44; pessoas;45.0
2009;Avis;Município;45-54; pessoas;51.9
2009;Avis;Município;55 ou mais anos; pessoas;56.6
2009;Avis;Município;Menos de 25 anos; pessoas;34.2
2009;Avis;Município;Total; pessoas;232.3
2009;Azambuja;Município;25-34; pessoas;258.6
2009;Azambuja;Município;35-44; pessoas;205.1
2009;Azambuja;Município;45-54; pessoas;206.1
2009;Azambuja;Município;55 ou mais anos; pessoas;199.5
2009;Azambuja;Município;Menos de 25 anos; pessoas;111.3
2009;Azambuja;Município;Total; pessoas;980.5
2009;Baião;Município;25-34; pessoas;399.3
2009;Baião;Município;35-44; pessoas;480.6
2009;Baião;Município;45-54; pessoas;401.1
2009;Baião;Município;55 ou mais anos; pessoas;198.7
2009;Baião;Município;Menos de 25 anos; pessoas;279.6
2009;Baião;Município;Total; pessoas;1759.2
2009;Barcelos;Município;25-34; pessoas;876.9
2009;Barcelos;Município;35-44; pessoas;999.7
2009;Barcelos;Município;45-54; pessoas;1273.7
2009;Barcelos;Município;55 ou mais anos; pessoas;1256.6
2009;Barcelos;Município;Menos de 25 anos; pessoas;620.1
2009;Barcelos;Município;Total; pessoas;5026.9
2009;Barrancos;Município;25-34; pessoas;14.3
2009;Barrancos;Município;35-44; pessoas;29.1
2009;Barrancos;Município;45-54; pessoas;17.3
2009;Barrancos;Município;55 ou mais anos; pessoas;13.8
2009;Barrancos;Município;Menos de 25 anos; pessoas;16.2
2009;Barrancos;Município;Total; pessoas;90.5
2009;Barreiro;Município;25-34; pessoas;1021.3
2009;Barreiro;Município;35-44; pessoas;942.8
2009;Barreiro;Município;45-54; pessoas;857.8
2009;Barreiro;Município;55 ou mais anos; pessoas;706.8
2009;Barreiro;Município;Menos de 25 anos; pessoas;458.1
2009;Barreiro;Município;Total; pessoas;3986.7
2009;Batalha;Município;25-34; pessoas;124.4
2009;Batalha;Município;35-44; pessoas;79.7
